id,name_sci,name_en,name_sv
0,Struthio camelus,Common Ostrich,struts
1,Struthio molybdophanes,Somali Ostrich,somaliastruts
2,Rhea americana,Greater Rhea,större nandu
3,Rhea pennata,Lesser Rhea,mindre nandu
4,Apteryx australis,Southern Brown Kiwi,sydkivi
5,Apteryx mantelli,North Island Brown Kiwi,brunkivi
6,Apteryx rowi,Okarito Kiwi,okaritokivi
7,Apteryx owenii,Little Spotted Kiwi,mindre fläckkivi
8,Apteryx haastii,Great Spotted Kiwi,större fläckkivi
9,Casuarius casuarius,Southern Cassowary,hjälmkasuar
10,Casuarius bennetti,Dwarf Cassowary,dvärgkasuar
11,Casuarius unappendiculatus,Northern Cassowary,enflikig kasuar
12,Dromaius novaehollandiae,Emu,emu
13,Tinamus tao,Grey Tinamou,grå tinamo
14,Tinamus solitarius,Solitary Tinamou,solitärtinamo
15,Tinamus osgoodi,Black Tinamou,svart tinamo
16,Tinamus major,Great Tinamou,större tinamo
17,Tinamus guttatus,White-throated Tinamou,vitstrupig tinamo
18,Nothocercus bonapartei,Highland Tinamou,höglandstinamo
19,Nothocercus julius,Tawny-breasted Tinamou,brunbröstad tinamo
20,Nothocercus nigrocapillus,Hooded Tinamou,kamtinamo
21,Crypturellus berlepschi,Berlepsch's Tinamou,sottinamo
22,Crypturellus cinereus,Cinereous Tinamou,askgrå tinamo
23,Crypturellus soui,Little Tinamou,mindre tinamo
24,Crypturellus ptaritepui,Tepui Tinamou,tepuítinamo
25,Crypturellus obsoletus,Brown Tinamou,brun tinamo
26,Crypturellus undulatus,Undulated Tinamou,amazontinamo
27,Crypturellus transfasciatus,Pale-browed Tinamou,ljusbrynad tinamo
28,Crypturellus strigulosus,Brazilian Tinamou,brasilientinamo
29,Crypturellus duidae,Grey-legged Tinamou,gråbent tinamo
30,Crypturellus erythropus,Red-legged Tinamou,rödbent tinamo
31,Crypturellus noctivagus,Yellow-legged Tinamou,gulbent tinamo
32,Crypturellus atrocapillus,Black-capped Tinamou,svarthättad tinamo
33,Crypturellus cinnamomeus,Thicket Tinamou,snårtinamo
34,Crypturellus boucardi,Slaty-breasted Tinamou,skiffertinamo
35,Crypturellus kerriae,Choco Tinamou,chocótinamo
36,Crypturellus variegatus,Variegated Tinamou,broktinamo
37,Crypturellus brevirostris,Rusty Tinamou,rosttinamo
38,Crypturellus bartletti,Bartlett's Tinamou,Bartletts tinamo
39,Crypturellus parvirostris,Small-billed Tinamou,kortnäbbad tinamo
40,Crypturellus casiquiare,Barred Tinamou,strimmig tinamo
41,Crypturellus tataupa,Tataupa Tinamou,tataupatinamo
42,Rhynchotus rufescens,Red-winged Tinamou,rostvingad tinamo
43,Rhynchotus maculicollis,Huayco Tinamou,huaycotinamo
44,Nothoprocta taczanowskii,Taczanowski's Tinamou,taczanowskitinamo
45,Nothoprocta ornata,Ornate Tinamou,tofstinamo
46,Nothoprocta perdicaria,Chilean Tinamou,chiletinamo
47,Nothoprocta cinerascens,Brushland Tinamou,busktinamo
48,Nothoprocta pentlandii,Andean Tinamou,andinsk tinamo
49,Nothoprocta curvirostris,Curve-billed Tinamou,bågnäbbad tinamo
50,Nothura boraquira,White-bellied Nothura,vitbukig tinamo
51,Nothura minor,Lesser Nothura,småtinamo
52,Nothura darwinii,Darwin's Nothura,darwintinamo
53,Nothura maculosa,Spotted Nothura,fläckig tinamo
54,Taoniscus nanus,Dwarf Tinamou,dvärgtinamo
55,Eudromia elegans,Elegant Crested Tinamou,prakttinamo
56,Eudromia formosa,Quebracho Crested Tinamou,quebrachotinamo
57,Tinamotis pentlandii,Puna Tinamou,punatinamo
58,Tinamotis ingoufi,Patagonian Tinamou,patagonientinamo
59,Anhima cornuta,Horned Screamer,hornvärnfågel
60,Chauna chavaria,Northern Screamer,svarthalsad värnfågel
61,Chauna torquata,Southern Screamer,tofsvärnfågel
62,Anseranas semipalmata,Magpie Goose,skatgås
63,Dendrocygna viduata,White-faced Whistling Duck,vithuvad visseland
64,Dendrocygna autumnalis,Black-bellied Whistling Duck,svartbukig visseland
65,Dendrocygna guttata,Spotted Whistling Duck,fläckig visseland
66,Dendrocygna arborea,West Indian Whistling Duck,karibvisseland
67,Dendrocygna bicolor,Fulvous Whistling Duck,brun visseland
68,Dendrocygna eytoni,Plumed Whistling Duck,plymvisseland
69,Dendrocygna arcuata,Wandering Whistling Duck,vandringsvisseland
70,Dendrocygna javanica,Lesser Whistling Duck,orientvisseland
71,Thalassornis leuconotus,White-backed Duck,vitryggig and
72,Cereopsis novaehollandiae,Cape Barren Goose,hönsgås
